song_id,country,Number_of_times
AAAPkzCF7rHnmq2sDszeavqsjA==,BR,1036
AAoKBgt8hThuWNSesr5XQqFQ5g==,MX,1115
AAvniKqnH/Q5RwIoFypCvTj3NQ==,FR,1596
AAyZ0NziWZPjgiWOWaqOSpryiw==,BR,3277
AA7Jh3FuJHM6Zy+D/kmg0PhXFA==,DE,3950
ABGi7c6Xm3haPMJxYxbDiE/TwA==,BR,1263
ABHYqPxm+ASpMPEgNcDAD91h9g==,FR,1407
ACPaAsom7MXsz2EtcD0Tyxl4yg==,FR,2079
ACXu7/8Vq1419bjBWETHpdg31w==,BR,5676
ACfKOdd16jj94Cf00cx5gYhW2Q==,BR,1531
ACfKOdd16jj94Cf00cx5gYhW2Q==,FR,6225
ADQYYlgX5b1OBxj7Dmjc5Pg+/w==,FR,2529
ADeel3Y78kSON1QQfH2BwXtcTg==,FR,1310
AD58t07kd/SVoT3SpnA5IH+ibw==,FR,2985
AEAwCnvNkuyD+R3qNzSbNLSHNw==,TR,1641
AEC6KaRlrgO3M4vauYdN1t2g1g==,FR,1369
AESG5rr2cbr7wWWXyIP7fIYSHw==,BR,3988
AEdjc76GnP929OKTmdBmghSg+Q==,BR,1007
AEuMIgsSwrFYz/KShYwshLkHNA==,BR,4136
AE6Dc55c2eQ8TiPGWLb1y1tRqw==,FR,1448
AFImG7EyVRWxoB3ZrsU5CpTVfA==,FR,1419
AFLk45izd/PsmxQ8CfH9UyOTew==,FR,1463
AFNqtWTdux1p5C+Bnv+yW8yBFQ==,CO,2677
AFNqtWTdux1p5C+Bnv+yW8yBFQ==,MX,1762
AFcBCRPhd02XmcX8Qcs4AujJFw==,BR,2293
AFhD+GnYtnnZgbw1lUV4Qoc6jg==,BR,1005
AFigRXxxQg+s1vDX6z6WgXMo7g==,FR,1265
AFigRXxxQg+s1vDX6z6WgXMo7g==,BR,2729
AFzs6HBcVtVNh0bppP6htQkisA==,FR,30657
AF6o9rIzHB7wza22CpAFW0fMQg==,FR,1134
AF6o9rIzHB7wza22CpAFW0fMQg==,GB,1020
AGApAjtQQogSm8y0K10RHuUKqg==,FR,1542
AGOv6LXEl5nlspiaCKtZ6sKJNA==,BR,1706
AGPjLXVgIDoGSAHFaf3iMs/zcQ==,FR,4656
AG2vwQOt/tX7rrxONDmppmVNvg==,BR,14608
AG8J9mNzB9tf6F0He6FqfxV8IQ==,FR,1066
AHg/bbnFzTBebMiFkApfKN3LEw==,BR,1221
AHhR2E3Ze9wpPacsEPpBh8JiXg==,BR,2003
AH1ROJdb+NvyJMPkGtLS0lHAsQ==,FR,1337
AH9io/UUkTRJdaXF+avTsywmYw==,FR,5893
AH9io/UUkTRJdaXF+avTsywmYw==,BR,4627
AJXU3gVNqTsLFPq3gd6+Oibpug==,FR,3216
AJYbw50hRkjvaFpmRhdyR2tSYg==,FR,1051
AJtmGzG9XOJq0htN3S/DOpa+Zg==,BR,1594
AKe95jbUYZv99VP9yZ5Ffu5Kzw==,FR,8656
AKiiSozcWwo6UpV5kYHhH620gQ==,FR,1439
AKlYlWcABFmDuOQD30qEP/xMUw==,MX,1036
AKlYlWcABFmDuOQD30qEP/xMUw==,FR,14159
AKlYlWcABFmDuOQD30qEP/xMUw==,BR,9744
AKlYlWcABFmDuOQD30qEP/xMUw==,DE,2168
ALMB/xgQHKI6Wt0M98SGlKKImg==,FR,1373
ALMZ5IAy/k7MAlBFyycFA5RWOg==,DE,2896
ALSgCdbdcSNPQrTJI3YC4sK6GA==,MX,1537
ALXWp/Qnqy07KiMAjh+3ZH6YBw==,DE,1711
ALYI4xMKnb8kKkXHk+hhhWeSWw==,BR,1455
ALfc4pHh8BHyTiMuFxpQ1eSEIA==,BR,2970
ALm01YixkrEMI+PjlhfvP7v8hg==,FR,1065
ALqP0jYOYLSbSzRNn2YRWT1ilg==,FR,1290
AL/FBQwSXqHNHKpZE8b8dsFaYQ==,FR,1635
