Country,Top songs
BR,"[('BVgiSQcStJY9qniCAFA1C3OKTg==', 55389), ('CjusiJanBMNPHEuHJUy0Npra3g==', 47904), ('CA9EGcvCfFsRg3DeQtq/c989vA==', 47883), ('B+v5SSOG1p66hkbbpfzdS+ln+Q==', 33299), ('CmumiecfQWF+eWaouYEioSfTaQ==', 28432), ('AedS5ksCMnor70eaIFhx7o8aZg==', 26701), ('B+38U0V2gd3HxXgPisZx8tRccA==', 17739), ('CTnrze2/9Blqt58hhvRyJEJaxQ==', 17164), ('Cp1XQkgl5F1UUUr0YoCCPFKivg==', 16147), ('B7CTiqHImBNz9w4WGo5YK5P6xw==', 15950), ('CE7CZjVN4HwGh2eJzQn6MlBxEw==', 14840), ('BReHySlJVarI6jDQJAnAKO8USw==', 14801), ('AG2vwQOt/tX7rrxONDmppmVNvg==', 14608), ('CjbPO8GSKN1loN7D5cp6b955DA==', 14287), ('Aclm7Fsh+gCCxSdOVWIB/kf/yA==', 14107), ('BuN1OQ9UPNkP2BB9I/CkCvowrQ==', 13355), ('CqQIZRB9m+giw76Cw5JsTkgkeg==', 12551), ('Bi89cIxKTjSvje74G28WDHLJ6g==', 11801), ('BLlcHIO99BsBCpU1bE0QObNxJg==', 11693), ('BWA2etFy2C9IyhbJmETK7+TRtA==', 10076), ('CJTrMc9SB++V/Zo1NCIXVQeLUw==', 9847), ('B+FAmlZUTSEtqCjRsMETk74qTw==', 9773), ('CXetF6R6qYnlRImrcQ8plzVdTA==', 9770), ('AKlYlWcABFmDuOQD30qEP/xMUw==', 9744), ('Ak8LBru+4fMqDeubUzbR4/FAsA==', 9537), ('CO3LZPViSSFQVQfDef9OIz/7JA==', 8754), ('BwrphbXTHCUAPzZFJpssW6tIzw==', 8729), ('CqpKTqbUSnYQBHtTUJsNnedEWw==', 8680), ('A6xjtiTbllfC8V1iW8nXvy381w==', 8149), ('Cmp+6lo7LyJMS07NhkLqLBYa4w==', 8016), ('BmLOgPcSaN8exXiZIApDYzYBJg==', 7919), ('BjiKq+qLWDoFwVJvCiHDpH+bOg==', 7825), ('Cac8dpMBlO9t667Uvcd6LJxV1w==', 7671), ('A+pzzwYhunbhsJvYtzCZg0bd5w==', 7641), ('CWK2JvDKAX2VfqzG2SvVTl+a1Q==', 7529), ('CZ+3vCIZns050UJhltytKIXRRw==', 7516), ('A87tgaDMbcw/17ZNc8dQYCIaWQ==', 7477), ('BBhH740pNZ2y/chQgvjDlgFQoQ==', 7454), ('CJppoNZrG7HEnjCq3QH+hiXSJQ==', 7442), ('BrvdU8NN9sEg5KQ8PZQ1nNsrhw==', 7397), ('AgQSMpnR/EzDM5cwL/aJegCThA==', 7206), ('Cbvh5HHH4hRivWpKLry8nTCTCw==', 6766), ('BdKavkKbkipM/b8VWim4dWSqwQ==', 6519), ('BY8kegkOWiAGyvuEcRIQkaqdEQ==', 6462), ('B8hliuEbrmIzgh/0u3EKKYXLrA==', 6169), ('BZdbFD3OhYAk1klEae2kFz24iA==', 6123), ('B32RfUVaYnmrnVxt9Gb4I8PZnw==', 6110), ('CUECZVW9bo44QlbNuSr7alp38w==', 6094), ('AlvWMreM4sB3PI2rKQcBpAIRIQ==', 6037), ('B51Vty0wBW8sRdH++DeHhkwbsA==', 5847), ('BkRyHkQfwG04tMn+f/Ke3zMoUw==', 5757), ('ACXu7/8Vq1419bjBWETHpdg31w==', 5676), ('A2wHDoNFix/cYHy/onP7ODk5PA==', 5641), ('BbdGEPhqSPU7dksNcXm+Nx1NKw==', 5627), ('Ci8kzCD5KSirga89tkTD6xf7zg==', 5617), ('BTZTFelr0Nt/Kr7gfWbhAnCpqA==', 5500), ('BZRkIs64pseMpyB+wBzM/X0zFQ==', 5494), ('Cd0tLs7nfvLDJKQbol8ljxHLZQ==', 5460), ('CNsQ4NwLWtwUqCg67OLRcXKvkg==', 5432), ('AxI9LE5NJjLxYywgvz909OG15w==', 5398), ('BqyPp0Ui5cWS7ra60d4+VFnMGA==', 5353), ('AyVZbv4I3NyllCi9ixHYNc0GWw==', 5288), ('BSwBbFaz3CRFwKNWKWWRAe+JNw==', 5273), ('AWf6YD/4pWZ2FLafcDQyivi+sQ==', 5225), ('CVlcPW0RJiIDwaYPvv/2SXibcg==', 5191), ('BIDt3PE5VixRYMkQ06UAbbrlTg==', 4892), ('CEXDFSkOtRmsWKwsPJWWpuEfjA==', 4811), ('CaO5YHqeXkuMca6qKMK/ufbB0A==', 4716), ('B/X1FjGDVtXdE96BvLeNfzP1BQ==', 4714), ('AH9io/UUkTRJdaXF+avTsywmYw==', 4627), ('B2PHmzlLN/2XwWyat4NU8QI6UA==', 4573), ('CNJEyZk32HliopPJiVwkUkbmtw==', 4437), ('BMx8MTshpfm43uUfguDs1RAGTA==', 4427), ('Bjxo9MDCLNumxYDcnlhx51XSRA==', 4211), ('B62D49jECvvFGzAhmttHGuKj/Q==', 4184), ('COIByn+BhVkLNuF2cACIFpovCg==', 4139), ('AEuMIgsSwrFYz/KShYwshLkHNA==', 4136), ('B3IxCJWt3uHnJnu/U0x3/F5Yqg==', 4076), ('Aq2J+VvP9ptLYFbQoNBrB28W/g==', 4018), ('AgIGy+olLWWu2Xx3WQhGyvnm/A==', 4002), ('A0PODFNZaKL2O6cf7QTN8EoXYA==', 3990), ('AESG5rr2cbr7wWWXyIP7fIYSHw==', 3988), ('Ak4CmLs7/iRvvpkUwQehYXu7ow==', 3852), ('CqPYLBvpWNK85Vxiqvnukw3d6g==', 3847), ('BKO4vAV6uIbWUS70SJaCfVUIOA==', 3797), ('Au0uShae7Mtu8HWkD6bMlOapSw==', 3736), ('BUEIqoGd4awNADsbhc3u1w7vqw==', 3712), ('A7fNeaq4/5QQyBPrqxmKGTdvLw==', 3710), ('AieUUZy0aqArU7RHWmaJ5aEHQw==', 3652), ('CIGoM+4jCxtwiQW73mUOtGS5Mg==', 3651), ('BdH6ApTBByZgMznyWOESXStOwA==', 3636), ('AfaOMN+3lnHDdkEHIY0fl+d8dw==', 3561), ('B4FAeCI287axk/1XvEPy20q8jg==', 3556), ('BaffEW/wUPhKlUEUqQCJAJbcCg==', 3489), ('AS0d8sf67M0KvXqnL06xArZrAQ==', 3463), ('CmNHmkCAmmIdGzmwjpQSnZGuTQ==', 3406), ('BZO5qVLT5KpuPLMESFYHezgK5Q==', 3402), ('CPguDzQmTz6N0YnQ8KeXmfScKA==', 3365), ('CH0JLvvIL2JK1bSF4dxvHzlYEA==', 3362), ('CAJH1ixozgML7OffatNaE6laeA==', 3339)]"
MX,"[('AWf6YD/4pWZ2FLafcDQyivi+sQ==', 6183), ('ASaww7jZUAMz5jn1erJVF5pjzQ==', 4171), ('Cn/Zr/QPqPcXPWV//Qe2EGye1g==', 2753), ('B+38U0V2gd3HxXgPisZx8tRccA==', 2599), ('ClRoS30Upin2E68Z3i8T3SFv5g==', 2538), ('Cc5t6Gue+bCd+chi7GIWvYUQNg==', 2364), ('AyVZbv4I3NyllCi9ixHYNc0GWw==', 2277), ('BuN1OQ9UPNkP2BB9I/CkCvowrQ==', 2254), ('AnX6KA22LhSSRYMxuitqhs6rEg==', 2226), ('Bx2c8lgKOFeHCAuHDCJrAwiIPA==', 1958), ('CVAMETAvPK3c3GrNIZZgJux5Ug==', 1935), ('ASzkTMNaqBgPY6xq7T9j3uUg3Q==', 1797), ('CmBHFxVH6ugNJtqDl8ojsGV3lg==', 1780), ('AZMAqOPjdniYksZigPePaVRz/g==', 1763), ('AFNqtWTdux1p5C+Bnv+yW8yBFQ==', 1762), ('CoEFfwL6GayxjSvj1dw4FuL9jQ==', 1723), ('ALSgCdbdcSNPQrTJI3YC4sK6GA==', 1537), ('BaSjYqWM1KC9amnW7CHejj4aww==', 1487), ('CS9q0bIPoJOPltNqg6UfYKG/ng==', 1406), ('BQfBfH7d5/HUktG/BgXxZTSKeA==', 1259), ('BZHLOkIM8xLZrNlVD2NCO0q4Ag==', 1220), ('AZT6QE1OkLacQXFq6wIoHCdp5A==', 1217), ('BXqHVhYFJhgLK0awJ71e9Ddwaw==', 1207), ('AmxCjCvJruHZS9OxPskwQySqaA==', 1127), ('AAoKBgt8hThuWNSesr5XQqFQ5g==', 1115), ('BUeR0+IMAR+b2h9YseCQ7mrRnw==', 1091), ('BReHySlJVarI6jDQJAnAKO8USw==', 1067), ('AKlYlWcABFmDuOQD30qEP/xMUw==', 1036), ('Bm7/H2FXAjlN7KRCXqTb/BPFkQ==', 1028), ('Cbvh5HHH4hRivWpKLry8nTCTCw==', 1016)]"
FR,"[('Bq3FUlexj+Oi6Jdua0rdHgGpuA==', 131449), ('CXA/+pabOzzmbtCjqaLKwTgF9g==', 104838), ('A+47QLTduLD8hkJBMxrIwCaeSg==', 103144), ('CIuQae501R7q66jcgeDveLAgrw==', 67808), ('BVdINUEowUsanLQXK/eHArC8Ag==', 39368), ('AluOoPgOTpHu2YwDKOTSOHqqFg==', 31506), ('B+oEP5bXGHlASRF+Gp/l3U9HcA==', 30936), ('BggwjJYgWLdxp3cBkNBFdJ+XcQ==', 30791), ('AFzs6HBcVtVNh0bppP6htQkisA==', 30657), ('B+38U0V2gd3HxXgPisZx8tRccA==', 28814), ('BMx8MTshpfm43uUfguDs1RAGTA==', 27585), ('CZEF+Bahocz1h0F3qWBwU6s4wg==', 27377), ('CAYp2OqkCNIsBczbBdK0H1uRzA==', 25859), ('B4FNy3xNaVSg5Jf8kpObuWhfJg==', 25536), ('BWA2etFy2C9IyhbJmETK7+TRtA==', 24718), ('AfufLXH9rzUkp0zHqLdJpkTrGg==', 20727), ('AM9hbaajJnsk948qcCXV2sAKFg==', 20176), ('CAiWFEFktF52ON+wqoUrOkUQVA==', 19184), ('BKUbG/6eHYI8GBAlcXS0nUKKTA==', 17049), ('Bdjrta8bgEGYQl4wDA4ab2mmQA==', 16316), ('CNS+oaur3dDTIqYugDzPRqbMQg==', 16184), ('BuN1OQ9UPNkP2BB9I/CkCvowrQ==', 15269), ('A3icmD0fQuOl+xLvrOV9niUmwA==', 15263), ('B4gWYRBgMjPWrexHfqiTdvVI2Q==', 14398), ('AKlYlWcABFmDuOQD30qEP/xMUw==', 14159), ('At9OrATRSU6DJ82FBkbGk2hy3w==', 14098), ('BjiKq+qLWDoFwVJvCiHDpH+bOg==', 14007), ('AqE4c4ESPVbml995GI60KbusKw==', 13930), ('AYKqNzx2n77MqAUc1F3x/vmKKQ==', 13524), ('BK/Ug39V0CPMbyR0vPCMQtNqMg==', 13394), ('BbIA9Fw8zC5ozRgPQKq97uEOVA==', 12688), ('BRKfefZrppwuU4YKNs9rH65hbQ==', 12413), ('Bnd+qNe8EoY7nMihV/pPLTUvTg==', 12325), ('AhoFkmWFtiTrRENrVXwCq2W30w==', 12098), ('CM3ttw1ZXH9Awtadb3Q4qLU37g==', 11610), ('CS9q0bIPoJOPltNqg6UfYKG/ng==', 11465), ('AQ1ZxgapwtOHG9l9caQ3hXMCwQ==', 11457), ('CtKoxUYK9DLjxCM6h0aQRv//uQ==', 11100), ('Ak8LBru+4fMqDeubUzbR4/FAsA==', 10886), ('BXgY/umqYk+P5YTkFwgh14TeyA==', 10869), ('B6YZE2Nvxj6GUJBQLxj7hjQEQw==', 10854), ('BPoV+gzyqic45tfnfScuD+gwKA==', 10494), ('CaO5YHqeXkuMca6qKMK/ufbB0A==', 10410), ('CRDL66knY+nfoLmOUusjQVcPOw==', 10109), ('BZKuA8VaaOYm9TOm6/GzW3DuJQ==', 9985), ('Ai8WemCMLr9YnRSSj7bjipEm8Q==', 9972), ('ANxujmYOWAYu21Pf0JJcQSU8eQ==', 9794), ('Cd0tLs7nfvLDJKQbol8ljxHLZQ==', 9560), ('CSKHcVrKZipr6+MbK1+nwrtBSg==', 9521), ('B/X1FjGDVtXdE96BvLeNfzP1BQ==', 9509), ('CrMclPIcKLkajpxKkBJg/EyU+g==', 9489), ('AdUCCfRv+DD/VGF2xIcMSuEHGg==', 9426), ('BuTw7lB0q/HDJb8V3pgLLwd4wg==', 9336), ('CUltc+cCgD5XtEYZ/hQ0li1fjQ==', 9164), ('CpVahDN/t7k04F60UGzWdUuMlg==', 8943), ('CeQdOuRckLKSej8C35/bxoT/tA==', 8718), ('BiYqJE5abb70Io7Wf+RFeZJRBQ==', 8697), ('AKe95jbUYZv99VP9yZ5Ffu5Kzw==', 8656), ('Cbvh5HHH4hRivWpKLry8nTCTCw==', 8583), ('BReHySlJVarI6jDQJAnAKO8USw==', 8427), ('CPllua2le/PhvRvgJmFd3mFdPw==', 8272), ('CqpKTqbUSnYQBHtTUJsNnedEWw==', 8197), ('ASZDA337vR84RxPKw7YfFyReSw==', 7899), ('AZHHp0c1MYQ9WwbZdxN0BV2DZg==', 7708), ('CKyZGFjy6TRyuL2efJAY1dBa6A==', 7635), ('ARhAPxfme8kW2EHWuqEGp+N1ZQ==', 7598), ('Ahlis/Q2Wr/zM9BgssRMsptOLw==', 7372), ('AtK4GjOwf2icSkmr6eQVcq8XFg==', 7176), ('BuRIJ6tJ/8euioVtHxDnt+piVw==', 7067), ('BBhH740pNZ2y/chQgvjDlgFQoQ==', 7055), ('B/UEgnmp4RDZtyhJWhOE6nevig==', 6688), ('CDybWiaoKCPgL6hT6K2J14/h7w==', 6679), ('BRCgiwfRnjlccztQjHu2LyQBhg==', 6658), ('BQNw5z2RHbM+GIL0jXvh5n99oA==', 6490), ('Bc+D8juYpeUVyG6Pvs4Yd2s3Xw==', 6442), ('AOXm9rSV0zCY7rxi2JK17XY5SQ==', 6404), ('BCgYY3pC5HnRMhU0/Bnlnskxyg==', 6255), ('ACfKOdd16jj94Cf00cx5gYhW2Q==', 6225), ('CVIXaztCClEc/Q+up87gxyfhig==', 6187), ('AyVZbv4I3NyllCi9ixHYNc0GWw==', 6140), ('CmNHmkCAmmIdGzmwjpQSnZGuTQ==', 6090), ('Av03R6OCF5+ZvbrcTvmpZvPbeg==', 6085), ('AS0d8sf67M0KvXqnL06xArZrAQ==', 6053), ('BtH8XNKnRhyf0K0+1RslKgOOzw==', 6048), ('CDfxalGxSkFPV7py0tfXL4JDaw==', 6028), ('Chj3s1lmV8gZGhBgluAdR9BZqg==', 5908), ('AH9io/UUkTRJdaXF+avTsywmYw==', 5893), ('AwE9t15qgmbPssAH9yxcJdUcXA==', 5786), ('A9DSkTTT8DfuHgJDx7M+K9uLkA==', 5712), ('CNsQ4NwLWtwUqCg67OLRcXKvkg==', 5688), ('BmbaxxWUPo6pHIo1dU2eUR/WGA==', 5655), ('CJppoNZrG7HEnjCq3QH+hiXSJQ==', 5443), ('BErJC/o0g0BhMkbvv6h20W9QAg==', 5401), ('Akco35PE11kLpKkNPMzuMOP4HQ==', 5355), ('BMRTdPZo3yhHuwpNOiQWl4JaFQ==', 5042), ('CCAPJZ5Dg6l/mdtakL3GA8Uu0Q==', 4913), ('Bl7H7uxSibQO5RGsMntHG3a86Q==', 4797), ('CIyZ9wQX6v7QNobv2KSDqfjk5Q==', 4796), ('CeS/WyvPPgObhqXCziQd+yQZcw==', 4790), ('ANaJzDnkzyeAbkGJI1xImS1+rA==', 4787)]"
DE,"[('Ao8gCE8tR5y40aAwlF1loi9J3A==', 14986), ('CDgqqTu5lRWeritHtezJZ5wSHQ==', 11155), ('BWA2etFy2C9IyhbJmETK7+TRtA==', 9328), ('Cm5mgNgWqDqW2OlBtTCOa/4Hdw==', 7945), ('BteBPmzSACcHwy4nyT1vmhB6gw==', 7395), ('Ap8rbfm6mEBKMrzKbvkB45KG4A==', 7305), ('BcVQ1VXatSYr2EUYBe9xQR0o1A==', 7197), ('B+38U0V2gd3HxXgPisZx8tRccA==', 6720), ('CExRegAXE91jFuzc4j5/ubryUw==', 4205), ('BjiKq+qLWDoFwVJvCiHDpH+bOg==', 4129), ('AA7Jh3FuJHM6Zy+D/kmg0PhXFA==', 3950), ('BrJ0DDzSNZQCFWi8N5KJ1gE4MA==', 3858), ('BMx8MTshpfm43uUfguDs1RAGTA==', 3551), ('CQZ/F36ODK82I+UG0MsgTy8pLg==', 3162), ('BXgY/umqYk+P5YTkFwgh14TeyA==', 3090), ('BxJ1tj3UVYCqiwDsOGp415HOYA==', 3057), ('B5D0Xqo128Zji+3EzmJpjXBadA==', 2961), ('ALMZ5IAy/k7MAlBFyycFA5RWOg==', 2896), ('CAiWFEFktF52ON+wqoUrOkUQVA==', 2753), ('BBhH740pNZ2y/chQgvjDlgFQoQ==', 2669), ('BReHySlJVarI6jDQJAnAKO8USw==', 2495), ('AjCm9OoNLEIAW1pftahODe1weA==', 2318), ('ASmpfV917uWqDXtvJUeMfLWqSA==', 2280), ('CrlgLlmyOV/IW1TplQh2tHof7g==', 2217), ('AKlYlWcABFmDuOQD30qEP/xMUw==', 2168), ('CrMclPIcKLkajpxKkBJg/EyU+g==', 2085), ('APK5wIveXKZp97ht28Q5iLRJMw==', 2083), ('A8kD15tT/75eZxZreJirqAD7fA==', 2070), ('CG3ZtEbFreaqzP2j7rHGwC5bJw==', 2061), ('B44jgstWJsiYd2aFYva0fbMEbw==', 1899), ('CgU8qxXYnyPC+MH6fARn+IN9mg==', 1892), ('CS9q0bIPoJOPltNqg6UfYKG/ng==', 1871), ('BCgYY3pC5HnRMhU0/Bnlnskxyg==', 1853), ('ANR/yOuIDlpszF407Io8S+Bkmg==', 1824), ('B+nVmBu+O5e7BvDm2UtE0G8jqg==', 1815), ('Ak8LBru+4fMqDeubUzbR4/FAsA==', 1812), ('BuN1OQ9UPNkP2BB9I/CkCvowrQ==', 1777), ('ALXWp/Qnqy07KiMAjh+3ZH6YBw==', 1711), ('Bq1Ex9gTt9dHzP7n7Z1eQiJWQg==', 1671), ('ATQcva55dSy71ryYz5WlQYDDlw==', 1612), ('BH8SfVwNLQ1nFsyOu7SE8dv7Mw==', 1580), ('AS0d8sf67M0KvXqnL06xArZrAQ==', 1578), ('CeGz+RuPdiugCZFSh/O1ASAPxQ==', 1557), ('CqpKTqbUSnYQBHtTUJsNnedEWw==', 1543), ('AZK3O2dLoYUvbdyVJv9iIWi06g==', 1540), ('CGk3bWLGH9k9VLMyorjQI55p+Q==', 1507), ('Cd0tLs7nfvLDJKQbol8ljxHLZQ==', 1507), ('CZAnfkpOcZuH/1YnqfZhINiLsg==', 1446), ('CB/CdwifjAR3ibGe/IQVXro6mA==', 1443), ('CB/A7fbijbjXoJwOrb8tTAu4FQ==', 1440), ('AiKk6TfYiLWa/KLhfz5YFB6RHA==', 1417), ('BFYe8OZU2DEI0r/5aX6jlz9nTQ==', 1389), ('BdKavkKbkipM/b8VWim4dWSqwQ==', 1384), ('Bm5xswF172QakRYu9Tes8oK2xA==', 1353), ('CoBKZQXcdBZnzaa4uWOPu/Oxlw==', 1352), ('AYKqNzx2n77MqAUc1F3x/vmKKQ==', 1328), ('AyVZbv4I3NyllCi9ixHYNc0GWw==', 1295), ('CFPQlNh+HwgE/q0xR/OiVzEX7A==', 1279), ('CNsQ4NwLWtwUqCg67OLRcXKvkg==', 1267), ('CJppoNZrG7HEnjCq3QH+hiXSJQ==', 1256), ('ArR38dFB9aZC3bzO0uyT4PWZ+Q==', 1250), ('BjQeN4Uyps+/GcfL0uVPNHKgcw==', 1247), ('Ah/nXVl17R9kUEfOSdJ0GmEBIA==', 1245), ('BwWi9wZ1bY8FlaXQNYxXhxiGVA==', 1224), ('CDKQJyTcQOD1+8et7ZdFL2XoKg==', 1197), ('CEXDFSkOtRmsWKwsPJWWpuEfjA==', 1173), ('AvEIGzQN1lmcvyTu+ylVO2DenA==', 1150), ('At5pBnCKMcHLmtp0hs1//P9MHQ==', 1133), ('BsrtaSeSUw5E5cgN22rPuR1ZOg==', 1110), ('At41NY7FIT6hOgOTW/RzRwhOzw==', 1091), ('AWYfkoj7S2wigV8nLsyJOlESvA==', 1085), ('CRDL66knY+nfoLmOUusjQVcPOw==', 1079), ('CaO5YHqeXkuMca6qKMK/ufbB0A==', 1078), ('BNsZF2nL4RWRD1axwvDn0+ir8g==', 1072), ('BZKuA8VaaOYm9TOm6/GzW3DuJQ==', 1046), ('ByfH4ZBlJRJi1BheQaWLjjA6Vg==', 1042), ('A8If4jhcgb0Dqb+wxX++DXYJkQ==', 1034), ('Ci1usMaGHcAMwt6p4ddX3N4T/A==', 1033), ('CZ+3vCIZns050UJhltytKIXRRw==', 1028), ('B/X1FjGDVtXdE96BvLeNfzP1BQ==', 1004)]"
TR,"[('Byg7E2H83T18l/Zv8SXUwh6F9Q==', 3517), ('Ba5v/Sesr74aOK4WtCnmDYrlpQ==', 3442), ('Bkc2muTqNC+YiLxGjROWXrwBkg==', 1674), ('AEAwCnvNkuyD+R3qNzSbNLSHNw==', 1641)]"
CO,"[('AWf6YD/4pWZ2FLafcDQyivi+sQ==', 5486), ('ASaww7jZUAMz5jn1erJVF5pjzQ==', 3974), ('BRzFlPCEoQuq6K0WXSD2UUT0Ew==', 3632), ('CPt/L1/y6Kd5dXubKZzpP3eFmQ==', 3057), ('ClRoS30Upin2E68Z3i8T3SFv5g==', 2890), ('AFNqtWTdux1p5C+Bnv+yW8yBFQ==', 2677), ('BifwTCeI9mopqjf9Or9jZxtyTA==', 2584), ('CmBHFxVH6ugNJtqDl8ojsGV3lg==', 2232), ('Cc5t6Gue+bCd+chi7GIWvYUQNg==', 1782), ('B5nvXzlBns3/3n3D7y1ywVZsaw==', 1613), ('BuN1OQ9UPNkP2BB9I/CkCvowrQ==', 1531), ('AnX6KA22LhSSRYMxuitqhs6rEg==', 1530), ('CVAMETAvPK3c3GrNIZZgJux5Ug==', 1418), ('CS9q0bIPoJOPltNqg6UfYKG/ng==', 1316), ('B+38U0V2gd3HxXgPisZx8tRccA==', 1265), ('AlaySwVSwgAvsgn4A2eveHAO8w==', 1129), ('CngNiu7VVb3eRJ7Sy3k71wWT4A==', 1083), ('AyVZbv4I3NyllCi9ixHYNc0GWw==', 1020), ('AUP+RCy1ffxxLeOttdbwJZX86Q==', 1008)]"
GB,"[('CrMclPIcKLkajpxKkBJg/EyU+g==', 5682), ('BWA2etFy2C9IyhbJmETK7+TRtA==', 4952), ('BwVUWbzGQlGdP4irk9hsQUDtiA==', 3564), ('BXgY/umqYk+P5YTkFwgh14TeyA==', 2738), ('B+38U0V2gd3HxXgPisZx8tRccA==', 2478), ('BjiKq+qLWDoFwVJvCiHDpH+bOg==', 2348), ('BReHySlJVarI6jDQJAnAKO8USw==', 2252), ('BPoV+gzyqic45tfnfScuD+gwKA==', 2084), ('AyVZbv4I3NyllCi9ixHYNc0GWw==', 1902), ('BuN1OQ9UPNkP2BB9I/CkCvowrQ==', 1902), ('CH79MKPZZnwvZGCkAb9/3vX8AQ==', 1775), ('BMx8MTshpfm43uUfguDs1RAGTA==', 1765), ('AS0d8sf67M0KvXqnL06xArZrAQ==', 1761), ('BBhH740pNZ2y/chQgvjDlgFQoQ==', 1741), ('AQCKU/4FGaBCAE68QKwqNktQGw==', 1702), ('CUIoM5Qip7ysoCrGb00ecQCYxQ==', 1568), ('BCgYY3pC5HnRMhU0/Bnlnskxyg==', 1487), ('ASmpfV917uWqDXtvJUeMfLWqSA==', 1461), ('ANR/yOuIDlpszF407Io8S+Bkmg==', 1443), ('Ak8LBru+4fMqDeubUzbR4/FAsA==', 1334), ('Cd0tLs7nfvLDJKQbol8ljxHLZQ==', 1275), ('CNsQ4NwLWtwUqCg67OLRcXKvkg==', 1273), ('Bxp+P3gF+xJ0SAyDZzwqbqd6yw==', 1272), ('CRDL66knY+nfoLmOUusjQVcPOw==', 1261), ('BmPKhPpe6HS11RdK77xlMpWUTw==', 1214), ('CqpKTqbUSnYQBHtTUJsNnedEWw==', 1140), ('CmNHmkCAmmIdGzmwjpQSnZGuTQ==', 1052), ('AVqM7OGwWyGHRaLL6EgpDc+j1g==', 1024), ('CB/A7fbijbjXoJwOrb8tTAu4FQ==', 1022), ('AF6o9rIzHB7wza22CpAFW0fMQg==', 1020)]"
RS,"[('A4RxmFX+DbmZgn5DDYE01BSoRg==', 4484), ('CjXNbS0KsPNZNiDBfVJzZ3d6Aw==', 1864), ('AQpLVVIMtSFu1ZizvSg9twGS+A==', 1636), ('CWfvA9/yosl1bm6VDCgsVvI1PA==', 1397), ('BDRE0FeyJFObsvoL3+V73k6eHQ==', 1135)]"
GT,"[('AWf6YD/4pWZ2FLafcDQyivi+sQ==', 2765), ('ASaww7jZUAMz5jn1erJVF5pjzQ==', 2311), ('ClRoS30Upin2E68Z3i8T3SFv5g==', 1888), ('CmBHFxVH6ugNJtqDl8ojsGV3lg==', 1310), ('CVAMETAvPK3c3GrNIZZgJux5Ug==', 1112)]"
IT,"[('AV9Q+VaonlmoHQWERTm71Ln/gg==', 1144)]"
